completed_epoch,variant,stage,run_id,precision,recall,map50,map,map75,loss_giou,loss_class,loss_bbox,loss_fgl,loss_fgl_aux,loss_bbox_pre,loss_giou_pre,gradient_norm,fdr_gradient_norm,cuda_peak_mib
1,fdr,formal,fdr-formal-seed0-b54fbb2dfe73-2545f6830263,0.60178,0.01096,0.00051,0.0001,1.5961473755047106e-05,2.4139389991760254,0.4452449083328247,0.9413092136383057,0.15596267580986023,0.7820350527763367,0.9903848171234131,2.5997133255004883,24.928911209106445,41.563724517822266,11457.24
2,fdr,formal,fdr-formal-seed0-b54fbb2dfe73-2545f6830263,0.0303,0.07739,0.01164,0.00388,0.00150156130781724,2.196310520172119,0.16679859161376953,0.6697348952293396,0.32986658811569214,1.5097136497497559,0.7963436841964722,2.3241448402404785,30.993711471557617,65.6612777709961,12898.19
3,fdr,formal,fdr-formal-seed0-b54fbb2dfe73-2545f6830263,0.06236,0.12979,0.03207,0.01467,0.012464621582110407,1.8930244445800781,0.30617377161979675,0.4907070994377136,0.7284983396530151,3.4256820678710938,0.2777162790298462,1.5792261362075806,89.2868423461914,124.78497314453125,10319.45
4,fdr,formal,fdr-formal-seed0-b54fbb2dfe73-2545f6830263,0.11284,0.14203,0.0559,0.02725,0.024024920836159265,1.7017465829849243,0.38091832399368286,0.3711579144001007,0.7823397517204285,3.797741413116455,0.30823084712028503,1.5619860887527466,61.36332321166992,128.10931396484375,12778.0
5,fdr,formal,fdr-formal-seed0-b54fbb2dfe73-2545f6830263,0.15258,0.17949,0.08455,0.04496,0.04298659652975348,1.573058843612671,0.41343238949775696,0.3169403374195099,0.6465070843696594,3.0926904678344727,0.25849732756614685,1.6580389738082886,85.65815734863281,78.1626968383789,11291.0
6,fdr,formal,fdr-formal-seed0-b54fbb2dfe73-2545f6830263,0.17536,0.21141,0.11227,0.06057,0.05828474211930318,1.4995676279067993,0.42292797565460205,0.28326699137687683,0.7421181797981262,3.5900261402130127,0.2457330822944641,1.4925849437713623,71.97098541259766,106.95201110839844,15408.38
7,fdr,formal,fdr-formal-seed0-b54fbb2dfe73-2545f6830263,0.21501,0.221,0.13199,0.07402,0.07353142751420377,1.4360880851745605,0.4333826005458832,0.2617216408252716,0.5228942632675171,2.3686928749084473,0.34374159574508667,1.9833170175552368,63.484291076660156,99.22979736328125,15560.7
8,fdr,formal,fdr-formal-seed0-b54fbb2dfe73-2545f6830263,0.21338,0.23891,0.14548,0.08048,0.0788151632152582,1.3887803554534912,0.44194433093070984,0.2478664517402649,0.6612108945846558,3.1203038692474365,0.29778212308883667,1.7838168144226074,69.20343780517578,57.607017517089844,10429.11
9,fdr,formal,fdr-formal-seed0-b54fbb2dfe73-2545f6830263,0.25771,0.25605,0.17717,0.09882,0.09580460191209197,1.358142375946045,0.44236257672309875,0.2423449456691742,0.6144389510154724,3.0474891662597656,0.27602618932724,1.6979228258132935,80.67716979980469,111.57227325439453,13333.49
10,fdr,formal,fdr-formal-seed0-b54fbb2dfe73-2545f6830263,0.27241,0.27239,0.19399,0.11036,0.10916420920449713,1.3171089887619019,0.44659245014190674,0.22430449724197388,0.6268520951271057,3.130211114883423,0.3059127926826477,1.6621298789978027,65.95126342773438,106.38359832763672,14432.78
11,fdr,formal,fdr-formal-seed0-b54fbb2dfe73-2545f6830263,0.29417,0.28102,0.20946,0.11559,0.11208236444601186,1.299027442932129,0.44315263628959656,0.21952536702156067,0.6304774880409241,3.0137264728546143,0.28381699323654175,1.7850481271743774,97.9521255493164,142.07957458496094,11537.87
12,fdr,formal,fdr-formal-seed0-b54fbb2dfe73-2545f6830263,0.31498,0.30281,0.22916,0.13073,0.12877153801653612,1.2751796245574951,0.4450039565563202,0.21082979440689087,0.7052320241928101,3.402780771255493,0.21993333101272583,1.562103509902954,81.39446258544922,111.88130950927734,10169.17
